"","Time..s.","RIP.Band.1","Preprocessed.Band.1","RIP.Band.2","Preprocessed.Band.2"
"272",15.577776,-0.0026519,-0.002774279,NA,NA
"273",15.581776,-0.0027225986,-0.0027874557,NA,NA
"274",15.585777,-0.0027565733,-0.0028006851,NA,NA
"275",15.589777,-0.0027217492,-0.0028139611,NA,NA
"276",15.593777,-0.002678454,-0.0028272779,NA,NA
"277",15.597776,-0.0026892722,-0.0028406298,NA,NA
"278",15.601776,-0.002774991,-0.002854011,NA,NA
"279",15.605776,-0.0027979687,-0.002867414,NA,NA
"280",15.609776,-0.0027809367,-0.0028808326,NA,NA
"281",15.613775,-0.0027180389,-0.002894261,NA,NA
"282",15.617777,-0.0027499795,-0.002907693,NA,NA
"283",15.621777,-0.0028185546,-0.0029211224,NA,NA
"284",15.625776,-0.0028477237,-0.0029345432,NA,NA
"285",15.629776,-0.0028183311,-0.002947951,NA,NA
"286",15.633776,-0.0027698725,-0.0029613404,NA,NA
"287",15.637775,-0.002790302,-0.002974707,NA,NA
"288",15.641775,-0.0028738752,-0.0029880463,NA,NA
"289",15.645775,-0.0028915107,-0.0030013532,NA,NA
"290",15.649776,-0.0028728247,-0.003014624,NA,NA
"291",15.653776,-0.002810441,-0.0030278543,NA,NA
"292",15.657776,-0.002846159,-0.0030410427,NA,NA
"293",15.661776,-0.002915226,-0.0030541867,NA,NA
"294",15.665775,-0.00293874,-0.0030672837,NA,NA
"295",15.669775,-0.0029120296,-0.003080332,NA,NA
"296",15.673775,-0.0028669015,-0.0030933304,NA,NA
"297",15.677774,-0.0028852522,-0.003106278,NA,NA
"298",15.681776,-0.0029685572,-0.0031191716,NA,NA
"299",15.685776,-0.0029867515,-0.0031320094,NA,NA
"300",15.689775,-0.0029692948,-0.0031447893,NA,NA
"301",15.693775,-0.002910845,-0.00315751,NA,NA
"302",15.697775,-0.002932191,-0.0031701708,NA,NA
"303",15.701775,-0.0030118749,-0.0031827707,NA,NA
"304",15.705774,-0.0030476376,-0.003195308,NA,NA
"305",15.709774,-0.0030091926,-0.0032077823,NA,NA
"306",15.713776,-0.0029666573,-0.0032201945,NA,NA
"307",15.717775,-0.002976045,-0.0032325457,NA,NA
"308",15.721775,-0.0030658543,-0.0032448366,NA,NA
"309",15.725775,-0.0030847415,-0.0032570676,NA,NA
"310",15.729774,-0.003067553,-0.0032692405,NA,NA
"311",15.733774,-0.0030153394,-0.0032813568,NA,NA
"312",15.737774,-0.0030370653,-0.0032934195,NA,NA
"313",15.741774,-0.0031090602,-0.0033054312,NA,NA
"314",15.745775,-0.003143303,-0.0033173936,NA,NA
"315",15.749775,-0.0031101555,-0.0033293092,NA,NA
"316",15.753775,-0.0030616522,-0.00334118,NA,NA
"317",15.757774,-0.003078863,-0.0033530083,NA,NA
"318",15.761774,-0.0031664819,-0.003364797,NA,NA
"319",15.765774,-0.0031941757,-0.0033765463,NA,NA
"320",15.7697735,-0.0031624585,-0.0033882593,NA,NA
"321",15.773773,-0.003110312,-0.00339994,NA,NA
"322",15.777775,-0.003131926,-0.0034115918,NA,NA
"323",15.7817745,-0.0032093078,-0.0034232172,NA,NA
"324",15.785774,-0.0032368004,-0.0034348194,NA,NA
"325",15.789774,-0.0032105595,-0.0034464009,NA,NA
"326",15.793774,-0.0031554848,-0.003457966,NA,NA
"327",15.797773,-0.003182307,-0.003469516,NA,NA
"328",15.801773,-0.0032543018,-0.0034810521,NA,NA
"329",15.805773,-0.0032829568,-0.003492574,NA,NA
"330",15.809774,-0.0032551289,-0.0035040828,NA,NA
"331",15.813774,-0.0032044575,-0.0035155802,NA,NA
"332",15.817774,-0.0032214448,-0.0035270683,NA,NA
"333",15.821774,-0.0033035204,-0.0035385487,NA,NA
"334",15.825773,-0.003328085,-0.0035500226,NA,NA
"335",15.829773,-0.0033006817,-0.0035614916,NA,NA
"336",15.833773,-0.0032500997,-0.0035729578,NA,NA
"337",15.837772,-0.0032650083,-0.0035844229,NA,NA
"338",15.841774,-0.0033408254,-0.0035958888,NA,NA
"339",15.845774,-0.0033750236,-0.0036073574,NA,NA
"340",15.849773,-0.003349319,-0.0036188306,NA,NA
"341",15.853773,-0.003273949,-0.00363031,NA,NA
"342",15.857773,-0.0033195466,-0.003641797,NA,NA
"343",15.861773,-0.003391184,-0.0036532902,NA,NA
"344",15.865772,-0.0034195483,-0.003664788,NA,NA
"345",15.869772,-0.003382489,-0.0036762895,NA,NA
"346",15.873774,-0.0033344775,-0.0036877936,NA,NA
"347",15.877773,-0.0033526272,-0.0036992985,NA,NA
"348",15.881773,-0.0034262538,-0.0037108015,NA,NA
"349",15.885773,-0.0034542605,-0.0037222987,NA,NA
"350",15.889772,-0.0034323335,-0.0037337884,NA,NA
"351",15.893772,-0.0033778176,-0.0037452695,NA,NA
"352",15.897772,-0.0034030974,-0.0037567404,NA,NA
"353",15.901772,-0.0034698844,-0.003768198,NA,NA
"354",15.905773,-0.0034989417,-0.0037796388,NA,NA
"355",15.909773,-0.003471762,-0.0037910598,NA,NA
"356",15.913773,-0.0034252703,-0.0038024595,NA,NA
"357",15.917772,-0.003440246,-0.0038138356,NA,NA
"358",15.921772,-0.0035200417,-0.003825186,NA,NA
"359",15.925772,-0.0035411865,-0.0038365093,NA,NA
"360",15.929771,-0.003524445,-0.0038478056,NA,NA
"361",15.933771,-0.003461659,-0.0038590766,NA,NA
"362",15.937773,-0.0034865811,-0.0038703242,NA,NA
"363",15.941772,-0.0035587102,-0.00388155,NA,NA
"364",15.945772,-0.003596194,-0.003892755,NA,NA
"365",15.949772,-0.0035622194,-0.0039039413,NA,NA
"366",15.953772,-0.003515929,-0.00391511,NA,NA
"367",15.957771,-0.003526926,-0.003926265,NA,NA
"368",15.961771,-0.003605269,-0.003937408,NA,NA
"369",15.965771,-0.0036326498,-0.0039485395,NA,NA
"370",15.969772,-0.0036084205,-0.0039596637,NA,NA
"371",15.973772,-0.0035514906,-0.003970782,NA,NA
"372",15.977772,-0.003576547,-0.003981897,NA,NA
"373",15.981771,-0.0036518276,-0.003993011,NA,NA
"374",15.985771,-0.0036743358,-0.0040041236,NA,NA
"375",15.989771,-0.0036496148,-0.004015235,NA,NA
"376",15.993771,-0.003603369,-0.0040263464,NA,NA
"377",15.99777,-0.003612265,-0.004037458,NA,NA
"378",16.001772,-0.003696598,-0.0040485724,NA,NA
"379",16.005772,-0.0037229955,-0.004059691,NA,NA
"380",16.009771,-0.0036990792,-0.004070816,NA,NA
"381",16.013771,-0.0036424622,-0.0040819505,NA,NA
