Time (s), PPG trace, Preprocessed PPG
15.732681,81.444115,85.34684
15.746017,81.23903,85.18688
15.759346,81.160904,85.14748
15.772682,81.19264,85.21549
15.786018,81.27566,85.33578
15.799347,81.35378,85.453766
15.812683,81.37087,85.51316
15.826012,81.29275,85.477875
15.839348,81.109634,85.33516
15.852684,80.814224,85.074425
15.866013,80.42603,84.71168
15.879349,79.95972,84.258675
15.892685,79.44457,83.74227
15.9060135,78.89525,83.17559
15.91935,78.3386,82.58442
15.932678,77.7966,81.9905
15.946014,77.29122,81.41627
15.959351,76.83467,80.87507
15.972679,76.439156,80.38064
15.986015,76.10712,79.937325
15.9993515,75.843445,79.552
16.01268,75.650566,79.22923
16.026016,75.51873,78.96148
16.039345,75.44305,78.74576
16.052681,75.41375,78.57406
16.066017,75.41619,78.43318
16.079346,75.43816,78.31191
16.092682,75.4699,78.201096
16.106018,75.50652,78.09615
16.119347,75.55779,78.007
16.132683,75.6115,77.9219
16.146011,75.665215,77.83847
16.159348,75.718925,77.75672
16.172684,75.76532,77.669334
16.186012,75.80682,77.57851
16.199348,75.83124,77.471886
16.212685,75.83856,77.34894
16.226013,75.82391,77.20425
16.23935,75.78241,77.03224
16.252678,75.7116,76.829636
16.266014,75.6115,76.59553
16.27935,75.48943,76.33632
16.292679,75.355156,76.06109
16.306015,75.21599,75.77677
16.319351,75.089035,75.50032
16.33268,74.984055,75.241875
16.346016,74.91081,75.01189
16.359344,74.879074,74.82111
16.37268,74.89128,74.673294
16.386017,74.969406,74.591774
16.399345,75.159836,74.625
16.412682,75.577324,74.891235
16.426018,76.36103,75.536736
16.439346,77.63302,76.69501
16.452682,79.44213,78.43015
16.466011,81.7029,80.67349
16.479347,84.210266,83.23407
16.492683,86.6688,85.82417
16.506012,88.7831,88.146866
16.519348,90.32609,89.964325
16.532684,91.20012,91.16105
16.546013,91.41009,91.72102
16.55935,91.05852,91.72602
16.572678,90.29679,91.309875
16.586014,89.2958,90.63066
16.59935,88.21423,89.83959
16.612679,87.186386,89.068436
16.626015,86.295265,88.401886
16.63935,85.575035,87.87838
16.65268,85.00618,87.48374
16.666016,84.53986,87.17387
16.679344,84.105286,86.88116
16.69268,83.67071,86.57487
16.706017,83.24101,86.25988
16.719345,82.85527,85.97542
16.732681,82.55741,85.766785
16.746017,82.37919,85.66848
16.759346,82.31083,85.67447
16.772682,82.320595,85.75645
16.78601,82.34257,85.85094
16.799347,82.32792,85.90949
16.812683,82.22537,85.87969
16.826012,82.01541,85.73927
16.839348,81.68337,85.470215
16.852684,81.23659,85.076035
16.866013,80.69703,84.57512
16.879349,80.079346,83.97922
16.892677,79.41039,83.312744
16.906013,78.7219,82.60583
16.91935,78.05295,81.896935
16.932678,77.4255,81.20864
16.946014,76.86641,80.5691
16.95935,76.39521,79.99998
16.97268,76.00702,79.49914
16.986015,75.699394,79.066734
16.999344,75.4699,78.70285
17.01268,75.31121,78.402596
17.026016,75.21355,78.15841
17.039345,75.16716,77.96245
17.052681,75.16228,77.80654
17.066017,75.18913,77.68222
17.079346,75.24284,77.585594
17.092682,75.32098,77.51507
17.10601,75.41619,77.464066
17.119347,75.51629,77.42092
17.132683,75.6115,77.37602
17.146011,75.699394,77.326775
17.159348,75.772644,77.26563
17.172684,75.83612,77.19701
17.186012,75.894714,77.12548
17.199348,75.945984,77.04846
17.212677,75.98505,76.96084
17.226013,76.00946,76.85979
17.23935,76.00702,76.73264
17.252678,75.97772,76.57857
17.266014,75.928894,76.404045
17.27935,75.86542,76.21335
17.292679,75.789734,76.00846
17.306015,75.70672,75.79388
17.319344,75.62615,75.57915
17.33268,75.55047,75.36678
17.346016,75.49676,75.17403
17.359344,75.47723,75.01377
17.37268,75.50408,74.89929
17.386017,75.596855,74.85157
17.399345,75.809265,74.926384
17.412682,76.23407,75.22023
17.42601,77.015335,75.88381
17.439346,78.27512,77.05033
17.452682,80.06958,78.790886
17.466011,82.3328,81.05628
17.479347,84.86458,83.66096
17.492683,87.36706,86.31545
17.506012,89.530174,88.708786
17.519348,91.11955,90.595985
17.532677,92.018005,91.84193
17.546013,92.225525,92.42501
17.55935,91.83734,92.41888
17.572678,91.00725,91.9587
17.586014,89.918365,91.2138
17.59935,88.7367,90.34209
17.612679,87.60143,89.47984
17.626015,86.62241,88.73837
17.639343,85.84848,88.17139
17.65268,85.25521,87.76088
17.666016,84.78401,87.4539
17.679344,84.35432,87.173706
17.69268,83.91974,86.8752
17.706017,83.46807,86.54602
17.719345,83.04814,86.23447
17.732681,82.71122,85.9928
17.74601,82.49882,85.86512
17.759346,82.41581,85.8602
17.772682,82.425575,85.94546
17.78601,82.46464,86.06032
17.799347,82.47196,86.14466
17.812683,82.39628,86.146225
17.826012,82.20584,86.03067
17.839348,81.88846,85.78222
17.852676,81.449,85.40177
17.866013,80.907,84.90505
17.879349,80.2942,84.320595
17.892677,79.64233,83.67792
17.906013,78.98558,83.009995
17.91935,78.345924,82.33864
17.932678,77.747765,81.68879
17.946014,77.21309,81.08373
17.959343,76.74677,80.53033
17.97268,76.36103,80.04292
17.986015,76.053406,79.62158
17.999344,75.82147,79.26632
18.01268,75.665215,78.979485
18.026016,75.57,78.74881
18.039345,75.526054,78.56643
18.052681,75.51873,78.4193
18.06601,75.53582,78.29635
18.079346,75.56512,78.18614
18.092682,75.60418,78.08662
18.10601,75.648125,77.993195
18.119347,75.701836,77.91091
18.132683,75.76044,77.8352
18.146011,75.81903,77.76131
18.159348,75.87518,77.686806
18.172676,75.92157,77.604294
18.186012,75.948425,77.5037
18.199348,75.95575,77.384415
18.212677,75.94354,77.24583
18.226013,75.911804,77.087326
18.23935,75.86542,76.913185
18.252678,75.809265,76.72783
18.266014,75.7409,76.5285
18.279343,75.66277,76.31728
18.292679,75.57,76.088974
18.306015,75.4699,75.85044
18.319344,75.36248,75.601456
18.33268,75.245285,75.33934
18.346016,75.13054,75.07601
18.359344,75.035324,74.82863
18.37268,74.97185,74.61001
18.38601,74.9572,74.43823
18.399345,74.9987,74.32215
18.412682,75.13298,74.30014
18.42601,75.4284,74.44347
18.439346,76.016785,74.88899
18.452682,77.04219,75.789925
18.466011,78.6096,77.2649
18.479347,80.709236,79.32109
18.492676,83.194626,81.82864
18.506012,85.80698,84.540825
18.519348,88.224,87.13931
18.532677,90.17227,89.34459
18.546013,91.46868,90.958885
18.55935,92.05463,91.90323
18.572678,91.97894,92.204254
18.586014,91.3637,91.963356
18.599342,90.389565,91.34434
18.612679,89.23964,90.51909
18.626015,88.077515,89.645706
18.639343,87.027695,88.84831
18.65268,86.168304,88.208534
18.666016,85.50912,87.7421
18.679344,85.00374,87.40888
18.69268,84.58137,87.142876
18.706009,84.17609,86.88076
18.719345,83.76105,86.59622
18.732681,83.35088,86.30359
18.74601,82.99199,86.04941
18.759346,82.73319,85.88411
18.772682,82.59647,85.8328
18.78601,82.562294,85.87976
18.799347,82.579384,85.97692
